director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,imdb_score,comb
adam robitel,lin shaye,angus sampson,leigh whannell,horror thriller,insidious: the last key,,lin shaye angus sampson leigh whannell adam robitel horror thriller
christopher radcliff (director/screenplay); lauren wolkstein,lauren wolkstein (director); alex pettyfer,james freedson-jackson,emily althaus,thriller drama,the strange ones,,lauren wolkstein (director); alex pettyfer james freedson-jackson emily althaus christopher radcliff (director/screenplay); lauren wolkstein thriller drama
jaume collet-serra,liam neeson,vera farmiga,patrick wilson,action thriller mystery,the commuter,,liam neeson vera farmiga patrick wilson jaume collet-serra action thriller mystery
babak najafi,taraji p. henson,jahi di'allo winston,billy brown,thriller action crime,proud mary,,taraji p. henson jahi di'allo winston billy brown babak najafi thriller action crime
brett donowho,bruce willis,cole hauser,shawn ashmore,action crime thriller,acts of violence,,bruce willis cole hauser shawn ashmore brett donowho action crime thriller
trudie styler,alex lawther,abigail breslin,annasophia robb,comedy drama,freak show,,alex lawther abigail breslin annasophia robb trudie styler comedy drama
sam hoffman,jemaine clement,elliott gould,ingrid michaelson,documentary,humor me,,jemaine clement elliott gould ingrid michaelson sam hoffman documentary
nicolai fuglsig,chris hemsworth,michael shannon,michael peña,war drama action history,12 strong,,chris hemsworth michael shannon michael peña nicolai fuglsig war drama action history
christian gudegast,gerard butler,pablo schreiber,o'shea jackson jr.,action crime thriller drama,den of thieves,,gerard butler pablo schreiber o'shea jackson jr. christian gudegast action crime thriller drama
bethany ashton wolf,alex roe,jessica rothe,john benjamin hickey,romance drama,forever my girl,,alex roe jessica rothe john benjamin hickey bethany ashton wolf romance drama
jesse keller,carr cavender,molly beucher,connor sullivan,drama thriller,thane of east county,,carr cavender molly beucher connor sullivan jesse keller drama thriller
wes ball,dylan o'brien,kaya scodelario,thomas brodie-sangster,science fiction action adventure thriller,maze runner: the death cure,,dylan o'brien kaya scodelario thomas brodie-sangster wes ball science fiction action adventure thriller
ben lewin,dakota fanning,toni collette,alice eve,comedy drama,please stand by,,dakota fanning toni collette alice eve ben lewin comedy drama
the spierig brothers,helen mirren,jason clarke,sarah snook,horror thriller,winchester,,helen mirren jason clarke sarah snook the spierig brothers horror thriller
mario van peebles,mario van peebles,ryan guzman,columbus short,action thriller,armed,,mario van peebles ryan guzman columbus short mario van peebles action thriller
julius onah,gugu mbatha-raw,elizabeth debicki,aksel hennie,horror science fiction thriller,the cloverfield paradox,,gugu mbatha-raw elizabeth debicki aksel hennie julius onah horror science fiction thriller
bryan coyne,brea grant,graham skipper,aly fitzgerald,comedy,bad apples,,brea grant graham skipper aly fitzgerald bryan coyne comedy
will gluck,rose byrne,domhnall gleeson,sam neill,animation adventure family,peter rabbit,,rose byrne domhnall gleeson sam neill will gluck animation adventure family
james foley,dakota johnson,jamie dornan,eric johnson,drama romance,fifty shades freed,,dakota johnson jamie dornan eric johnson james foley drama romance
clint eastwood,anthony sadler,alek skarlatos,spencer stone,drama thriller,the 15:17 to paris,,anthony sadler alek skarlatos spencer stone clint eastwood drama thriller
brian crano,rebecca hall,dan stevens,gina gershon,comedy romance drama,permission,,rebecca hall dan stevens gina gershon brian crano comedy romance drama
alex ross perry,emily browning,adam horowitz,mary-louise parker,drama,golden exits,,emily browning adam horowitz mary-louise parker alex ross perry drama
"ryan coogler (director/​screenplay); joe robert cole (screenplay); chadwick boseman, michael b. jordan, lupita nyong'o, danai gurira, martin freeman, daniel kaluuya, letitia wright, winston duke, sterling k. brown, angela bassett, forest whitaker, andy serkis",chadwick boseman,michael b. jordan,lupita nyong'o,action adventure science fiction,black panther,,"chadwick boseman michael b. jordan lupita nyong'o ryan coogler (director/​screenplay); joe robert cole (screenplay); chadwick boseman, michael b. jordan, lupita nyong'o, danai gurira, martin freeman, daniel kaluuya, letitia wright, winston duke, sterling k. brown, angela bassett, forest whitaker, andy serkis action adventure science fiction"
